Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 05/30  19:00:00,4807329.481526921,2394220.834870312,9257150.316459509,9257150.316459509,0.0 
 05/30  20:00:00,4016957.247488817,2394220.834870312,10108378.082421406,10108378.082421404,0.0 
 05/30  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 05/30  22:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 05/30  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/30  24:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/31  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/31  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/31  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/31  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/31  05:00:00,3716417.543734394,5108777.048454104,11966032.592188498,11966032.592188498,0.0 
 05/31  06:00:00,2609956.727390844,5985552.087175781,17321624.062578836,17321624.06257884,0.0 
 05/31  07:00:00,4573981.407425396,5985552.087175781,19482852.814377756,19482852.814377756,0.0 
 05/31  08:00:00,9576231.345014159,11971104.174351562,35790639.94974057,35790639.94974057,0.0 
 05/31  09:00:00,9480843.954320573,11971104.174351562,38106167.1990249,38106167.1990249,0.0 
 05/31  10:00:00,9565665.775766269,11971104.174351562,39351097.08808574,39351097.08808574,0.0 
 05/31  11:00:00,9548897.756080851,11971104.174351562,39889453.09740232,39889453.09740232,0.0 
 05/31  12:00:00,8463637.152103052,11252837.923890466,38050945.056539159,38050945.05653916,0.0 
 05/31  13:00:00,9364697.472204509,11971104.174351562,40921075.28803299,40921075.28803299,0.0 
 05/31  14:00:00,9225341.422649006,11971104.174351562,41108142.77821,41108142.77821001,0.0 
 05/31  15:00:00,9324956.687180374,11971104.174351562,41562667.172483999,41562667.172483999,0.0 
 05/31  16:00:00,9359139.73060254,11971104.174351562,41505675.20167482,41505675.20167482,0.0 
 05/31  17:00:00,6415158.106167687,5985552.087175781,29797032.826030926,29797032.826030926,0.0 
 05/31  18:00:00,4557137.994837698,2394220.834870312,14897566.081008304,14897566.081008302,0.0 
 05/31  19:00:00,4829759.28313557,2394220.834870312,9279580.118068157,9279580.118068157,0.0 
 05/31  20:00:00,4024040.9996332705,2394220.834870312,10115461.83456586,10115461.834565858,0.0 
 05/31  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 05/31  22:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 05/31  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/31  24:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/01  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/01  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/01  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/01  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 06/01  05:00:00,3705367.1816942,5108777.048454104,11954982.230148305,11954982.230148305,0.0 
 06/01  06:00:00,2581777.7274674719,5985552.087175781,17375137.72771003,17375137.72771003,0.0 
 06/01  07:00:00,4521845.981305261,5985552.087175781,18668988.484356736,18668988.48435673,0.0 
 06/01  08:00:00,9464987.369755602,11971104.174351562,31045834.428982337,31045834.428982334,0.0 
 06/01  09:00:00,9354911.856764757,11971104.174351562,32555564.188797285,32555564.188797289,0.0 
 06/01  10:00:00,9245264.475555279,11971104.174351562,33507552.75070464,33507552.75070464,0.0 
 06/01  11:00:00,9225341.422649006,11971104.174351562,34169420.52069157,34169420.52069157,0.0 
 06/01  12:00:00,8301838.419623077,11252837.923890466,31586644.551225649,31586644.551225649,0.0 
 06/01  13:00:00,10232073.612113094,11971104.174351562,34449617.901122327,34449617.90112233,0.0 
