Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/05  11:00:00,9630879.124605515,11971104.174351562,29625743.132421387,29625743.13242138,0.0 
 04/05  12:00:00,8649935.335866433,11252837.923890466,28009288.886462399,28009288.886462396,0.0 
 04/05  13:00:00,9883055.518422116,11971104.174351562,30169603.205878609,30169603.2058786,0.0 
 04/05  14:00:00,9847437.28644735,11971104.174351562,30422634.47278867,30422634.47278867,0.0 
 04/05  15:00:00,9938236.750583254,11971104.174351562,30942597.699787734,30942597.69978773,0.0 
 04/05  16:00:00,9866050.696635975,11971104.174351562,31042624.256455158,31042624.25645515,0.0 
 04/05  17:00:00,6687053.978288591,5985552.087175781,20870084.160757707,20870084.160757714,0.0 
 04/05  18:00:00,4879083.922204238,2394220.834870312,15191575.79199009,15191575.79199009,0.0 
 04/05  19:00:00,5246115.5500517799,2394220.834870312,10243136.384984369,10243136.384984365,0.0 
 04/05  20:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 04/05  21:00:00,4036874.0758905645,2394220.834870312,12069894.910823152,12069894.910823152,0.0 
 04/05  22:00:00,2901503.2420463429,2394220.834870312,11534524.076916654,11534524.076916654,0.0 
 04/05  23:00:00,2923570.5965399087,2043510.819381642,11205881.415921549,11205881.415921549,0.0 
 04/05  24:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 04/06  01:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 04/06  02:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 04/06  03:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 04/06  04:00:00,2923570.5965399087,5108777.048454104,13158423.644994012,13158423.64499401,0.0 
 04/06  05:00:00,3735673.540023218,5108777.048454104,13970526.588477325,13970526.588477325,0.0 
 04/06  06:00:00,2901503.2420463429,5985552.087175781,37095073.66539426,37095073.66539427,3514879.4328816437 
 04/06  07:00:00,5286758.97269188,5985552.087175781,35443486.552170459,35443486.55217045,4530838.873685514 
 04/06  08:00:00,10647997.270343185,11971104.174351562,34112281.97808984,34112281.97808983,0.0 
 04/06  09:00:00,10380960.545176866,11971104.174351562,31291730.205801663,31291730.205801656,0.0 
 04/06  10:00:00,10163394.13576637,11971104.174351562,30236988.572909789,30236988.572909774,0.0 
 04/06  11:00:00,10159669.790314202,11971104.174351562,30343664.047393715,30343664.04739371,0.0 
 04/06  12:00:00,9134970.008028673,11252837.923890466,28412041.95769024,28412041.95769024,0.0 
 04/06  13:00:00,10403903.663978484,11971104.174351562,30597395.443252334,30597395.44325232,0.0 
 04/06  14:00:00,10248272.3195672,11971104.174351562,30939473.559641314,30939473.559641307,0.0 
 04/06  15:00:00,10162177.81948373,11971104.174351562,31776140.373505519,31776140.373505508,0.0 
 04/06  16:00:00,10158378.077427317,11971104.174351562,32501083.589847216,32501083.58984721,0.0 
 04/06  17:00:00,6993986.683936063,5985552.087175781,21648923.95892589,21648923.958925897,0.0 
 04/06  18:00:00,4928421.97018672,2394220.834870312,15240913.839972573,15240913.839972573,0.0 
 04/06  19:00:00,5259447.721802141,2394220.834870312,10256468.55673473,10256468.556734728,0.0 
